Author Name,Books Amount
Fern Michaels et al,1
Thea Harrison,1
Tracy Wolff,1
Annette Blair and others,1
Gilly Macmillan,1
Cassia Leo,1
Jonathan Franzen,1
Lev Grossman,1
Cody McFadyen,1
Shannon Mayer,1
"Eve Langlais, Aubrey Rose, Molly Prince and others",1
Johanna Lindsey,1
Julie Ann Walker,1
Mark Helprin,1
Barbara Delinsky,1
Emily March,1
Stephen Hunter,1
Philip K Dick,1
